date,total_cases_per_million_mean
2020-01-01,.000287878787878788
2020-01-02,.000287878787878788
2020-01-03,.00046969696969697
2020-01-04,.00046969696969697
2020-01-05,.000621212121212121
2020-01-06,.000621212121212121
2020-01-07,.000621212121212121
2020-01-08,.000621212121212121
2020-01-09,.000621212121212121
2020-01-10,.000621212121212121
2020-01-11,.000621212121212121
2020-01-12,.000621212121212121
2020-01-13,.000833333333333333
2020-01-14,.000833333333333333
2020-01-15,.000954545454545455
2020-01-16,.000954545454545455
2020-01-17,.00122727272727273
2020-01-18,.00140909090909091
2020-01-19,.00283333333333333
2020-01-20,.00333333333333333
2020-01-21,.00560606060606061
2020-01-22,.0075
2020-01-23,.00853030303030303
2020-01-24,.0197575757575758
2020-01-25,.0291515151515152
2020-01-26,.0418181818181818
2020-01-27,.0539848484848485
2020-01-28,.0799393939393939
2020-01-29,.104090909090909
2020-01-30,.139545454545455
2020-01-31,.173242424242424
2020-02-01,.210409090909091
2020-02-02,.247606060606061
2020-02-03,.27780303030303
2020-02-04,.314
2020-02-05,.375530303030303
2020-02-06,.428318181818182
2020-02-07,.473287878787879
2020-02-08,.524212121212121
2020-02-09,.571575757575757
2020-02-10,.612515151515151
2020-02-11,.646818181818182
2020-02-12,.673939393939394
2020-02-13,.841984848484848
2020-02-14,.907681818181818
2020-02-15,.960363636363636
2020-02-16,.996909090909091
2020-02-17,1.03042424242424
2020-02-18,1.05728787878788
2020-02-19,1.09133333333333
2020-02-20,1.11709090909091
2020-02-21,1.15448484848485
2020-02-22,1.24077272727273
2020-02-23,1.35524242424242
2020-02-24,1.446
2020-02-25,1.54634848484849
2020-02-26,1.88916666666667
2020-02-27,2.2389696969697
2020-02-28,3.06842424242424
2020-02-29,3.98930303030303
2020-03-01,4.44392424242424
2020-03-02,8.27831818181818
2020-03-03,7.89665853658537
2020-03-04,14.5911086956522
2020-03-05,20.3331333333333
2020-03-06,21.0761379310345
2020-03-07,40.1231230769231
2020-03-08,27.0143050847458
2020-03-09,31.892625
2020-03-10,41.0445322580645
2020-03-11,41.1594675324675
2020-03-12,42.9869438202247
2020-03-13,47.1948241758242
2020-03-14,52.61528125
2020-03-15,50.9040826446281
2020-03-16,67.6539765625
2020-03-17,68.7869275362319
2020-03-18,73.1619718309859
2020-03-19,83.0084161073826
2020-03-20,101.740601226994
2020-03-21,114.208801169591
2020-03-22,124.74708
2020-03-23,140.821217877095
2020-03-24,155.496347826087
2020-03-25,168.140930481283
2020-03-26,186.785178010471
2020-03-27,237.244257731959
2020-03-28,259.106533333333
2020-03-29,284.773256410256
2020-03-30,303.784594871795
2020-03-31,319.847541666667
2020-04-01,327.874297979798
2020-04-02,349.987665
2020-04-03,373.692462686567
2020-04-04,403.085267326733
2020-04-05,426.707437810945
2020-04-06,444.676315270936
2020-04-07,463.514945812807
2020-04-08,485.331891625616
2020-04-09,512.293671568627
2020-04-10,534.621458536585
2020-04-11,554.499190243902
2020-04-12,572.886341463414
2020-04-13,588.327180487805
2020-04-14,600.528473170732
2020-04-15,623.648214634147
2020-04-16,644.175614634147
2020-04-17,665.86152195122
2020-04-18,680.593726829268
2020-04-19,697.73667804878
2020-04-20,711.029570731708
2020-04-21,729.544653658537
2020-04-22,745.725897560976
2020-04-23,760.247331707318
2020-04-24,775.599287804878
2020-04-25,790.804063414634
2020-04-26,801.090830097087
2020-04-27,821.636412621359
2020-04-28,831.936208737864
2020-04-29,844.022014563107
2020-04-30,863.6766407767
2020-05-01,880.336632850242
2020-05-02,889.363447115384
2020-05-03,900.512716346154
2020-05-04,911.314221153846
2020-05-05,925.386865384615
2020-05-06,937.706639423077
2020-05-07,958.37720673077
2020-05-08,973.1630625
2020-05-09,986.934504807693
2020-05-10,1003.05944711538
2020-05-11,1014.27135096154
2020-05-12,1026.34013461538
2020-05-13,1041.79596634615
2020-05-14,1056.91957211538
2020-05-15,1069.14227272727
2020-05-16,1084.41463636364
2020-05-17,1099.03477511962
2020-05-18,1112.55924401914
2020-05-19,1126.07953110048
2020-05-20,1142.81451196172
2020-05-21,1160.13583253589
2020-05-22,1176.98175598086
2020-05-23,1195.5223062201
2020-05-24,1214.68977511962
2020-05-25,1229.80186124402
2020-05-26,1245.68640191388
2020-05-27,1263.78912440191
2020-05-28,1280.879784689
2020-05-29,1300.80260287081
2020-05-30,1320.68023923445
2020-05-31,1342.00802392345
